ID Steves_ID ra dec x y
20029 z4_GND_22332 189.179694 62.240789 11707.786 10374.013
21567 z4_GND_19891 189.265962 62.247546 9297.237 10779.229
24413 z4_GND_14785 189.164208 62.261807 12139.289 11635.503
33402 z4_GND_41377 189.208982 62.311845 10888.025 14636.981
3777 z4_GND_819 189.297333 62.154039 8414.783 5169.538
9207 z4_GND_39165 189.184421 62.188214 11577.835 7219.417
30073 z4_GND_44202 189.232273 62.290575 10238.617 13360.706
25624 z4_GND_12864 189.134321 62.267528 12973.424 11979.763
33383 z4_GND_41287 189.195998 62.312141 11249.994 14654.882
15884 z4_GND_29320 189.152002 62.220837 12483.067 9177.656
25864 z4_GND_12477 189.134577 62.268622 12966.18 12045.393
21996 z4_GND_18876 189.123195 62.250733 13285.71 10972.553
6626 z4_GND_3077 189.296943 62.174063 8427.0 6370.991
28939 z4_GND_44672 189.279634 62.284464 8916.985 12994.556
5284 z4_GND_1924 189.252485 62.16555 9671.958 5859.311
20062 z4_GND_22271 189.248591 62.241082 9782.441 10391.175
3654 z4_GND_743 189.275336 62.152778 9031.208 5093.351
18709 z4_GND_24650 189.379007 62.234207 6137.0 9983.495
22046 z4_GND_18788 189.371791 62.250883 6340.911 10983.604
29630 z4_GND_8138 189.280668 62.288209 8888.308 13219.281
4741 z4_GND_1454 189.251183 62.161023 9708.322 5587.672
28328 z4_GND_9199 189.157384 62.281529 12328.562 12819.015
29850 z4_GND_8027 189.279748 62.289345 8914.024 13287.415
32275 z4_GND_42650 189.213604 62.304125 10759.273 14173.758
28270 z4_GND_44788 189.129825 62.281167 13097.708 12798.31
31607 z4_GND_7109 189.18992 62.299846 11419.9 13917.292
14422 z4_GND_31654 189.363963 62.213382 6554.867 8733.07
16799 z4_GND_27826 189.221406 62.225483 10542.236 9455.146
7980 z4_GND_40732 189.295652 62.181892 8463.622 6840.665
16397 z4_GND_28492 189.395869 62.223457 5663.999 9339.646
30746 z4_GND_43836 189.171914 62.294451 11922.37 13593.925
18665 z4_GND_24645 189.315699 62.234352 7906.562 9988.922
19580 z4_GND_23112 189.276832 62.238665 8993.14 10246.596
11040 z4_GND_36692 189.283616 62.19736 8801.42 7768.435
34822 z4_GND_5526 189.189117 62.322712 11441.46 15289.252
9747 z4_GND_38402 189.277506 62.191416 8972.142 7411.653
17394 z4_GND_27612 189.135389 62.22833 12946.969 9627.841
14645 z4_GND_31373 189.190758 62.214509 11399.516 8797.025
6975 z4_GND_3402 189.283378 62.176106 8807.012 6493.183
12424 z4_GND_34807 189.215373 62.2042 10711.161 8178.204
15168 z4_GND_30618 189.358913 62.216927 6696.572 8945.457
15698 z4_GND_29724 189.360567 62.219588 6650.628 9105.231
16624 z4_GND_28195 189.19554 62.224369 11265.467 9388.569
28429 z4_GND_9115 189.169855 62.281899 11980.495 12840.858
21473 z4_GND_19787 189.30266 62.248134 8271.942 10815.396
20978 z4_GND_20656 189.167405 62.245622 12050.941 10664.309
19165 z4_GND_23775 189.092085 62.236697 14156.577 10132.053
32407 z4_GND_42494 189.257644 62.304721 9531.16 14209.644
25701 z4_GND_12684 189.13321 62.268117 13004.389 12015.174
18091 z4_GND_25652 189.184719 62.231596 11567.726 9822.353
17044 z4_GND_27529 189.361617 62.226191 6622.08 9501.44
22312 z4_GND_18391 189.183236 62.25203 11608.327 11048.407
11002 z4_GND_36653 189.216923 62.197152 10667.89 7755.342
34528 z4_GND_5794 189.190499 62.320533 11403.013 15158.449
31219 z4_GND_43505 189.218594 62.297484 10620.17 13775.251
15917 z4_GND_29266 189.37846 62.220947 6150.431 9187.848
6381 z4_GND_2835 189.276872 62.172332 8989.047 6266.631
14879 z4_GND_31037 189.258147 62.21556 9514.687 8859.979
21179 z4_GND_20346 189.061298 62.246355 15015.554 10713.508
18816 z4_GND_25275 189.253733 62.235161 9638.612 10035.979
19767 z4_GND_22820 189.213578 62.239562 10760.897 10299.952
19495 z4_GND_23247 189.099276 62.238248 13955.414 10224.676
18818 z4_GND_24379 189.291659 62.235152 8578.562 10036.142
21367 z4_GND_20040 189.258775 62.247561 9498.015 10780.016
16866 z4_GND_27710 189.314059 62.225903 7951.729 9481.943
16928 z4_GND_27670 189.399574 62.225839 5560.788 9482.853
16191 z4_GND_28804 189.277179 62.222451 8982.712 9273.727
21092 z4_GND_20473 189.203137 62.24609 11052.524 10691.701
10354 z4_GND_37565 189.23988 62.19417 10025.39 7576.407
21370 z4_GND_19974 189.090439 62.247525 14201.2 10781.826
19700 z4_GND_22987 189.370162 62.238581 6384.79 10245.385
21494 z4_GND_19757 189.236823 62.248253 10111.351 10821.351
34149 z4_GND_6239 189.200259 62.317355 11131.087 14967.654
6895 z4_GND_3344 189.253955 62.175664 9631.002 6466.152
22872 z4_GND_18544 189.101952 62.254737 13878.691 11213.863
13136 z4_GND_33677 189.149329 62.207485 12558.802 8376.622
17965 z4_GND_25804 189.186242 62.231249 11525.174 9801.534
13935 z4_GND_32454 189.383034 62.21123 6021.131 8605.155
21246 z4_GND_20175 189.345505 62.246977 7074.803 10747.776
21687 z4_GND_19443 189.116381 62.249101 13476.232 10874.944
10364 z4_GND_37250 189.201207 62.194216 11107.766 7579.306
